Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
90tal,Hur många Grand Slam-titlar vann Stefan Edberg totalt?,6,4,8,5
90tal,Hur många amerikanska soldater dog i Mogadishu?,18,15,25,12
90tal,Hur många palestinier dödades i Hebron-massakern?,29,25,35,20
90tal,Hur många dog i Estonia-katastrofen?,852,754,963,681
90tal,Vilket år började Gladiatorerna sändas?,1989,1990,1988,1991
90tal,Vilket år lanserades SimCity?,1989,1990,1988,1991
90tal,Vilket år lanserades Tetris för Game Boy?,1989,1990,1988,1991
90tal,Vilket år blev Slobodan Milošević president i Serbien?,1989,1990,1988,1991
90tal,Vilket år började inbördeskriget i Liberia?,1989,1990,1988,1991
90tal,Vilket år började America's Funniest Home Videos?,1989,1990,1988,1991
90tal,"Vilket år hade Mariah Carey hit med ""Vision of Love""?",1990,1989,1991,1992
90tal,Vilket år hade Ice Ice Baby hit?,1990,1989,1991,1992
90tal,Vilket år hade Ghost premiär?,1990,1989,1991,1992
90tal,Vilket år hade Home Alone premiär?,1990,1989,1991,1992
90tal,Vilket år började The Fresh Prince of Bel-Air sändas?,1990,1989,1991,1992
90tal,Vilket år blev Stefan Edberg världsetta i tennis?,1990,1989,1991,1988
90tal,Vilket år återförenades Tyskland?,1990,1989,1991,1988
90tal,Vilket år frigavs Nelson Mandela?,1990,1989,1991,1988
90tal,Vilket år invaderade Irak Kuwait?,1990,1989,1991,1988
90tal,Vilket år blev Trolls populära igen?,1990,1991,1989,1992
90tal,Vilket år började manga bli populärt i västvärlden?,1990,1989,1991,1988
90tal,Vilket år mördades president Samuel Doe?,1990,1989,1991,1988
90tal,Vilket år invaderade Irak Kuwait?,1990,1989,1991,1988
90tal,Vilket år började Operation Desert Shield?,1990,1989,1991,1988
90tal,Vilket år blev Nelson Mandela frigiven?,1990,1989,1991,1988
90tal,Vilket år hade Ice Ice Baby sin storhetstid?,1990,1989,1991,1992
90tal,Vilket år blev Slap Bracelets förbjudna i skolor?,1990,1989,1991,1992
90tal,"Vilket år släppte Nirvana albumet ""Nevermind""?",1991,1990,1992,1993
90tal,"Vilket år släppte Pearl Jam ""Ten""?",1991,1990,1992,1993
90tal,"Vilket år fick Army of Lovers hit med ""Crucified""?",1991,1990,1992,1993
90tal,"Vilket år hade R.E.M. hit med ""Losing My Religion""?",1991,1990,1992,1993
90tal,Vilket år dog Freddie Mercury?,1991,1990,1992,1993
90tal,Vilket år hade Beauty and the Beast premiär?,1991,1990,1992,1989
90tal,Vilket år hade Terminator 2 premiär?,1991,1990,1992,1989
90tal,Vilket år vann Sverige ishockey-VM?,1991,1992,1987,1998
90tal,Vilket år upplöstes Sovjetunionen?,1991,1990,1992,1989
90tal,Vilket år blev Boris Jeltsin Rysslands president?,1991,1990,1992,1989
90tal,Vilket år började Jugoslaviska krigen?,1991,1990,1992,1989
90tal,Vilket år blev Carl Bildt statsminister?,1991,1990,1992,1989
90tal,Vilket år började Gulfkriget?,1991,1990,1992,1989
90tal,Vilket år började Jerry Springer Show sändas?,1991,1990,1992,1989
90tal,Vilket år lanserades Super Nintendo?,1991,1990,1992,1989
90tal,Vilket år lanserades Street Fighter II?,1991,1990,1992,1989
90tal,Vilket år lanserades Pogs?,1991,1990,1992,1989
90tal,Vilket år upplöstes Sovjetunionen officiellt?,1991,1990,1992,1989
90tal,Vilket år blev Boris Jeltsin Rysslands första president?,1991,1990,1992,1989
