Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
60tal,Hur många OS-guld vann Sixten Jernberg?,4,3,5,2
60tal,Hur gammal var Stevie Wonder när han fick sitt första kontrakt?,11,12,10,13
60tal,Hur gammal blev Jimi Hendrix?,27,26,28,25
60tal,Hur gammal blev Janis Joplin?,27,26,28,25
60tal,"Vilket år började ""The Twilight Zone"" sändas?",1959,1960,1958,1961
60tal,Vilket år störtades Batista på Kuba?,1959,1958,1960,1957
60tal,Vilket år började SAS flyga med jetplan?,1959,1958,1960,1957
60tal,Vilket år bildades The Beatles?,1960,1959,1961,1958
60tal,Vilket år vann Siw Malmkvist Melodifestivalen?,1960,1959,1961,1958
60tal,"Vilket år började ""The Flintstones"" sändas?",1960,1959,1961,1958
60tal,Vilket år förlorade Ingemar Johansson sitt VM-bälte?,1960,1959,1961,1958
60tal,Vilket år infördes allmän pension i Sverige?,1960,1959,1961,1958
60tal,Vilket år infördes allmän pension i Sverige?,1960,1959,1961,1958
60tal,Vilket år byggdes Berlinmuren?,1961,1960,1962,1959
60tal,Vilket år flög Jurij Gagarin?,1961,1960,1962,1959
60tal,Vilket år blev JFK president?,1961,1960,1962,1959
60tal,Vilket år byggdes Berlinmuren?,1961,1960,1962,1959
60tal,Vilket år inträffade Grisbukt-invasionen?,1961,1960,1962,1959
60tal,Vilket år flög Gagarin?,1961,1960,1962,1959
60tal,Vilket år flög Alan Shepard?,1961,1960,1962,1959
60tal,Vilket år utlovade JFK måndlandningen?,1961,1960,1962,1959
60tal,"Hvilket år hade ""Lawrence of Arabia"" premiär?",1962,1961,1963,1960
60tal,Vilket år hade första James Bond-filmen premiär?,1962,1961,1963,1960
60tal,Vilket år inträffade Kubakrisen?,1962,1961,1963,1960
60tal,Vilket år inträffade Kubakrisen?,1962,1961,1963,1960
60tal,Vilket år flög John Glenn?,1962,1961,1963,1960
60tal,Vilket år lämnade Östen Undén utrikesministerposten?,1962,1961,1963,1960
60tal,Vilket år öppnade Arlanda flygplats?,1962,1961,1963,1960
60tal,Vilket år bildades Hep Stars?,1963,1962,1964,1961
60tal,Vilket år mördades John F. Kennedy?,1963,1962,1964,1961
60tal,"Vilket år höll MLK sitt ""I Have a Dream""-tal?",1963,1962,1964,1961
60tal,Vilket år uppfanns kassettbandet?,1963,1962,1964,1961
60tal,Vilket år mördades John F. Kennedy?,1963,1962,1964,1961
60tal,Vilket år blev LBJ president?,1963,1962,1964,1961
